@@@E X T R A C T@@@
Latitude,Longitude,Road Surface
39.964458,-83.031078,Asphalt
39.96446,-83.03171,Asphalt
39.96446,-83.031108,Asphalt
39.964462,-83.031182,Asphalt
39.964463,-83.031482,Asphalt
39.96447,-83.030607,Asphalt
39.96447,-83.029963,Asphalt
39.964472,-83.030925,Asphalt
39.964472,-83.030172,Asphalt
39.964473,-83.031203,Asphalt
39.964473,-83.0308,Asphalt
39.964482,-83.031435,Asphalt
39.964482,-83.031245,Asphalt
39.964482,-83.030297,Asphalt
39.964482,-83.029317,Asphalt
39.964488,-83.031505,Asphalt
39.964488,-83.029655,Asphalt
39.964492,-83.031397,Asphalt
39.964497,-83.029873,Asphalt
39.9645,-83.030463,Asphalt
39.964502,-83.031798,Asphalt
39.964502,-83.029838,Asphalt
39.964502,-83.02968,Asphalt
39.964503,-83.03157,Asphalt
39.964503,-83.029993,Asphalt
39.96451,-83.031555,Asphalt
39.964513,-83.032047,Asphalt
39.964513,-83.030615,Asphalt
39.964515,-83.119068,Asphalt
39.964515,-83.030937,Asphalt
39.964517,-83.031785,Asphalt
39.964518,-83.031835,Asphalt
39.964523,-83.031255,Asphalt
39.964525,-83.030685,Asphalt
39.964528,-83.030295,Asphalt
39.96453,-83.031682,Asphalt
39.96453,-83.031013,Asphalt
39.964532,-83.030362,Asphalt
39.964533,-83.031897,Asphalt
39.964537,-83.03013,Asphalt
39.964537,-83.029693,Asphalt
39.964538,-83.030703,Asphalt
39.964542,-83.030363,Asphalt
39.964542,-83.029302,Asphalt
39.964545,-83.031577,Asphalt
39.964545,-83.029503,Asphalt
39.964545,-83.029395,Asphalt
39.964548,-83.031345,Asphalt
39.96455,-83.028985,Asphalt
39.964552,-83.030045,Asphalt
39.964552,-83.029568,Asphalt
39.964553,-83.031057,Asphalt
39.964555,-83.029983,Asphalt
39.964558,-83.030025,Asphalt
39.96456,-83.03216,Asphalt
39.964563,-83.0319,Asphalt
39.964567,-83.002925,Asphalt
39.964573,-83.032127,Asphalt
39.964575,-83.031963,Asphalt
39.964577,-83.032217,Asphalt
39.964577,-83.029793,Asphalt
39.964578,-83.03141,Asphalt
39.96458,-83.031903,Asphalt
39.964582,-83.032377,Asphalt
39.964582,-83.029733,Asphalt
39.964582,-83.029405,Asphalt
39.96459,-83.03167,Asphalt
39.96459,-83.029677,Asphalt
39.964595,-83.029698,Asphalt
39.964602,-83.029113,Asphalt
39.964605,-83.029172,Asphalt
39.964613,-83.029268,Asphalt
39.964613,-83.02896,Asphalt
39.964615,-83.032483,Asphalt
39.964627,-83.032233,Asphalt
39.964628,-83.031767,Asphalt
39.964628,-83.029428,Asphalt
39.964628,-83.029342,Asphalt
39.96463,-83.032242,Asphalt
39.96463,-83.029468,Asphalt
39.964632,-83.03253,Asphalt
39.964633,-83.029373,Asphalt
39.964633,-83.028652,Asphalt
39.964642,-83.02913,Asphalt
39.964643,-83.0322,Asphalt
39.964647,-83.03246,Asphalt
39.964648,-83.032,Asphalt
39.964665,-83.028828,Asphalt
39.964667,-83.0327,Asphalt
39.964675,-83.028842,Asphalt
39.96468,-83.002945,Asphalt
39.964683,-83.032818,Asphalt
39.964685,-83.028977,Asphalt
39.964687,-83.032802,Asphalt
39.964688,-83.02913,Asphalt
39.964692,-83.029077,Asphalt
39.964695,-83.032517,Asphalt
39.9647,-83.032842,Asphalt
39.9647,-83.032567,Asphalt
39.9647,-83.03213,Asphalt
39.964702,-83.029155,Asphalt
39.964703,-83.02862,Asphalt
39.964708,-83.029062,Asphalt
39.964712,-83.032578,Asphalt
39.964717,-83.028858,Asphalt
39.96472,-83.032327,Asphalt
39.964728,-83.032788,Asphalt
39.964733,-83.028325,Asphalt
39.964737,-83.032565,Asphalt
39.96474,-83.028548,Asphalt
39.964758,-83.028835,Asphalt
39.96476,-83.028787,Asphalt
39.964762,-83.11907,Asphalt
39.964763,-83.028523,Asphalt
39.964765,-83.03313,Asphalt
39.964768,-83.033025,Asphalt
39.964768,-83.032787,Asphalt
39.96478,-83.033153,Asphalt
39.964782,-83.032477,Asphalt
39.964782,-83.028672,Asphalt
39.964783,-83.033133,Asphalt
39.96479,-83.02885,Asphalt
39.964793,-83.032902,Asphalt
39.964793,-83.002973,Asphalt
39.964802,-83.032643,Asphalt
39.964803,-83.028585,Asphalt
39.964805,-83.032913,Asphalt
39.964812,-83.028285,Asphalt
39.964817,-83.028805,Asphalt
39.964828,-83.033112,Asphalt
39.964828,-83.028275,Asphalt
39.96483,-83.032918,Asphalt
39.964843,-83.028555,Asphalt
39.964848,-83.028008,Asphalt
39.964852,-83.033055,Asphalt
39.964852,-83.028517,Asphalt
39.964858,-83.028208,Asphalt
39.964862,-83.033455,Asphalt
39.964872,-83.033467,Asphalt
39.964872,-83.033348,Asphalt
39.964878,-83.032822,Asphalt
39.964883,-83.033442,Asphalt
39.96489,-83.032953,Asphalt
39.964892,-83.028562,Asphalt
39.964902,-83.033238,Asphalt
39.964905,-83.028333,Asphalt
39.964908,-83.033247,Asphalt
39.96491,-83.028363,Asphalt
39.96491,-83.002997,Asphalt
39.96493,-83.028008,Asphalt
39.964932,-83.033435,Asphalt
39.964935,-83.033272,Asphalt
39.964937,-83.02855,Asphalt
39.964937,-83.027965,Asphalt
39.964938,-83.033323,Asphalt
39.964943,-83.028297,Asphalt
39.964958,-83.02826,Asphalt
39.964967,-83.033777,Asphalt
39.96497,-83.033792,Asphalt
39.964973,-83.027903,Asphalt
39.964978,-83.033668,Asphalt
39.964978,-83.027702,Asphalt
39.964983,-83.033157,Asphalt
39.964985,-83.033743,Asphalt
39.964985,-83.033262,Asphalt
39.964998,-83.119063,Asphalt
39.965007,-83.028295,Asphalt
39.965012,-83.033573,Asphalt
39.965015,-83.028133,Asphalt
39.965015,-83.028098,Asphalt
39.965022,-83.033577,Asphalt
39.965025,-83.03359,Asphalt
39.965028,-83.003018,Asphalt
39.965033,-83.033763,Asphalt
39.965042,-83.027747,Asphalt
39.965047,-83.033628,Asphalt
39.96506,-83.028055,Asphalt
39.965068,-83.028313,Asphalt
39.965073,-83.034103,Asphalt
39.965075,-83.027655,Asphalt
39.965077,-83.034125,Asphalt
39.965082,-83.028018,Asphalt
39.965083,-83.034042,Asphalt
39.965085,-83.03399,Asphalt
39.965085,-83.033572,Asphalt
39.965087,-83.033485,Asphalt
39.9651,-83.027605,Asphalt
39.965113,-83.033858,Asphalt
39.965122,-83.033907,Asphalt
39.965122,-83.027408,Asphalt
39.965125,-83.027878,Asphalt
39.965133,-83.033905,Asphalt
39.965135,-83.028045,Asphalt
39.965137,-83.034095,Asphalt
39.96515,-83.003042,Asphalt
39.965158,-83.033985,Asphalt
39.965163,-83.027492,Asphalt
39.965168,-83.027847,Asphalt
39.965177,-83.034428,Asphalt
39.965182,-83.034332,Asphalt
39.965183,-83.027833,Asphalt
39.965187,-83.034465,Asphalt
39.965188,-83.033818,Asphalt
39.965192,-83.033883,Asphalt
39.965193,-83.034318,Asphalt
39.965202,-83.034127,Asphalt
39.965203,-83.028082,Asphalt
39.96521,-83.027793,Asphalt
39.965225,-83.02736,Asphalt
39.965228,-83.03424,Asphalt
39.96524,-83.119062,Asphalt
39.96524,-83.034428,Asphalt
39.96524,-83.02732,Asphalt
39.965245,-83.034228,Asphalt
39.965265,-83.003065,Asphalt
39.965267,-83.03435,Asphalt
39.96527,-83.027632,Asphalt
39.965272,-83.027815,Asphalt
39.965275,-83.027128,Asphalt
39.965278,-83.034618,Asphalt
39.965282,-83.03475,Asphalt
39.96529,-83.034395,Asphalt
39.96529,-83.03415,Asphalt
39.965293,-83.027247,Asphalt
39.965295,-83.027643,Asphalt
39.965298,-83.0342,Asphalt
39.965302,-83.034815,Asphalt
39.965303,-83.03465,Asphalt
39.965318,-83.02763,Asphalt
39.965333,-83.034572,Asphalt
39.965345,-83.027845,Asphalt
39.965347,-83.034762,Asphalt
39.965353,-83.034545,Asphalt
39.96536,-83.02758,Asphalt
39.965373,-83.034895,Asphalt
39.965377,-83.034722,Asphalt
39.965378,-83.034665,Asphalt
39.965378,-83.003088,Asphalt
39.965385,-83.03507,Asphalt
39.96539,-83.034485,Asphalt
39.96539,-83.02707,Asphalt
39.96539,-83.027052,Asphalt
39.965402,-83.034518,Asphalt
39.965402,-83.027488,Asphalt
39.965412,-83.034975,Asphalt
39.965418,-83.035172,Asphalt
39.96542,-83.027607,Asphalt
39.965428,-83.027443,Asphalt
39.965435,-83.02701,Asphalt
39.965438,-83.026857,Asphalt
39.96544,-83.03491,Asphalt
39.965455,-83.035097,Asphalt
39.96546,-83.034862,Asphalt
39.96546,-83.027452,Asphalt
39.965467,-83.03517,Asphalt
39.965467,-83.034933,Asphalt
39.965477,-83.11906,Asphalt
39.965487,-83.034817,Asphalt
39.96549,-83.035097,Asphalt
39.965492,-83.035388,Asphalt
39.965493,-83.003103,Asphalt
39.965495,-83.027618,Asphalt
39.965507,-83.034838,Asphalt
39.96551,-83.027402,Asphalt
39.965518,-83.035298,Asphalt
39.965538,-83.035537,Asphalt
39.965543,-83.035255,Asphalt
39.965547,-83.027345,Asphalt
39.96555,-83.026795,Asphalt
39.965555,-83.035435,Asphalt
39.965555,-83.0352,Asphalt
39.965565,-83.035432,Asphalt
39.965567,-83.035177,Asphalt
39.96557,-83.026792,Asphalt
39.965578,-83.027428,Asphalt
39.965585,-83.026783,Asphalt
39.965587,-83.035147,Asphalt
39.965595,-83.035705,Asphalt
39.965597,-83.02728,Asphalt
39.96561,-83.035472,Asphalt
39.96561,-83.035155,Asphalt
39.96561,-83.0273,Asphalt
39.96561,-83.026602,Asphalt
39.965615,-83.003127,Asphalt
39.965627,-83.035623,Asphalt
39.965633,-83.027388,Asphalt
39.965637,-83.035685,Asphalt
39.965642,-83.035465,Asphalt
39.965648,-83.035607,Asphalt
39.96566,-83.035903,Asphalt
39.965672,-83.035492,Asphalt
39.965672,-83.027257,Asphalt
39.965675,-83.035767,Asphalt
39.965682,-83.027192,Asphalt
39.965685,-83.035473,Asphalt
39.965703,-83.03602,Asphalt
39.965712,-83.035912,Asphalt
39.965717,-83.035467,Asphalt
39.96572,-83.026552,Asphalt
39.965722,-83.11906,Asphalt
39.965728,-83.035732,Asphalt
39.965732,-83.035852,Asphalt
39.965735,-83.035953,Asphalt
39.965737,-83.00315,Asphalt
39.96574,-83.026567,Asphalt
39.965743,-83.027283,Asphalt
39.965757,-83.02653,Asphalt
